Player,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Team,BPD,BPI,BPB,BP6
AD Russell,100,"2,040","1,279",76,26.8,159.5,70,11,0,143,166,43.8,KKR,16.83,12.8,4.14,7.7
Vishnu Vinod,5,169,97,1,169,174.2,71,2,0,8,12,22.7,MI,97.00,19.4,4.85,8.1
DR Sams,70,859,567,53,16.2,151.5,98,5,0,48,60,36.2,LSG,10.70,8.1,5.25,9.5
R Powell,65,"1,346",997,52,25.9,135,97,5,0,64,103,42.8,DC,19.17,15.3,5.97,9.7
D Pretorius,21,247,176,17,14.5,140.3,48,0,0,13,18,39.8,CSK,10.35,8.4,5.68,9.8
D Brevis,24,521,394,22,23.7,132.2,70,1,0,29,40,44.2,MI,17.91,16.4,5.71,9.9
N Pooran,82,"1,842","1,271",67,27.5,144.9,100,10,1,103,129,37.5,LSG,18.97,15.5,5.48,9.9
TH David,116,"2,492","1,531",85,29.3,162.8,76,7,0,169,155,30.6,MI,18.01,13.2,4.73,9.9
M Shahrukh Khan,26,452,322,17,26.6,140.4,47,0,0,26,32,38.8,PBKS,18.94,12.4,5.55,10.1
LS Livingstone,87,"2,521","1,686",78,32.3,149.5,94,19,0,163,166,35.9,PBKS,21.62,19.4,5.12,10.2
R Shepherd,33,377,288,23,16.4,130.9,72,1,0,21,28,43.8,LSG,12.52,8.7,5.88,10.3
Abdul Samad,22,338,231,18,18.8,146.3,55,1,0,16,22,31.2,SRH,12.83,10.5,6.08,10.5
JM Sharma,20,437,269,13,33.6,162.5,46,0,0,38,25,33.1,PBKS,20.69,13.5,4.27,10.8
A Manohar,12,332,212,9,36.9,156.6,70,2,0,30,19,33.5,GT,23.56,17.7,4.33,11.2
Rahmanullah Gurbaz,55,"1,359",884,54,25.2,153.7,99,9,0,131,79,42.3,KKR,16.37,16.1,4.21,11.2
FH Allen,52,"1,519",866,50,30.4,175.4,91,12,0,154,76,32.3,RCB,17.32,16.7,3.77,11.4
GD Phillips,75,"2,024","1,442",63,32.1,140.4,94,16,0,134,126,37.4,SRH,22.89,19.2,5.55,11.4
T Stubbs,21,344,241,18,19.1,142.7,46,0,0,18,21,29.9,MI,13.39,11.5,6.18,11.5
MJ Santner,24,464,330,13,35.7,140.6,92,2,0,30,28,38.5,CSK,25.38,13.8,5.69,11.8
SM Curran,45,844,611,37,22.8,138.1,72,5,0,52,50,34.7,PBKS,16.51,13.6,5.99,12.2
JO Holder,56,802,618,39,20.6,129.8,69,1,0,53,50,41.6,RR,15.85,11.0,6.00,12.4
RR Rossouw,83,"1,993","1,272",70,28.5,156.7,100,15,1,176,102,32.9,DC,18.17,15.3,4.58,12.5
M Vohra,5,61,50,5,12.2,122,19,0,0,6,4,58,LSG,10.00,10.0,5.00,12.5
D Wiese,73,"1,213",827,52,23.3,146.7,79,2,0,86,66,33.5,KKR,15.90,11.3,5.44,12.5
H Klaasen,14,481,307,9,53.4,156.7,104,4,1,31,24,25.1,SRH,34.11,21.9,5.58,12.8
MM Ali,76,"1,641","1,177",73,22.5,139.4,93,7,0,125,92,38.5,CSK,16.12,15.5,5.42,12.8
AR Patel,25,335,251,17,19.7,133.5,42,0,0,20,19,33.9,DC,14.76,10.0,6.44,13.2
WG Jacks,81,"2,333","1,470",74,31.5,158.7,108,20,1,240,111,34.6,RCB,19.86,18.1,4.19,13.2
S Dube,38,900,653,29,31,137.8,95,4,0,63,49,34.9,CSK,22.52,17.2,5.83,13.3
RM Patidar,17,599,414,16,37.4,144.7,112,5,1,47,31,32.6,RCB,25.88,24.4,5.31,13.4
Sikandar Raza,22,399,321,17,23.5,124.3,64,2,0,22,24,41.4,PBKS,18.88,14.6,6.98,13.4
D Ferreira,10,164,121,9,18.2,135.5,82,1,0,15,9,43.8,RR,13.44,12.1,5.04,13.4
KR Mayers,38,938,745,37,25.4,125.9,85,5,0,82,55,47.4,LSG,20.14,19.6,5.44,13.5
PBB Rajapaksa,36,672,476,35,19.2,141.2,56,1,0,58,35,37.6,PBKS,13.60,13.2,5.12,13.6
SV Samson,51,"1,497","1,021",47,31.9,146.6,119,9,1,131,75,34.8,RR,21.72,20.0,4.96,13.6
Shakib Al Hasan,43,910,616,39,23.3,147.7,89,7,0,83,45,32.8,KKR,15.79,14.3,4.81,13.7
SO Hetmyer,80,"1,745","1,233",57,30.6,141.5,71,9,0,119,90,34.1,RR,21.63,15.4,5.90,13.7
JM Bairstow,35,"1,269",865,34,37.3,146.7,112,11,1,121,63,38.6,PBKS,25.44,24.7,4.70,13.7
Ramandeep Singh,13,163,114,9,18.1,143,54,1,0,12,8,31.6,MI,12.67,8.8,5.70,14.3
R Parag,38,669,493,29,23.1,135.7,77,5,0,45,34,33.1,RR,17.00,13.0,6.24,14.5
DJ Hooda,32,831,587,26,32,141.6,69,8,0,59,40,30.8,LSG,22.58,18.3,5.93,14.7
R Tewatia,39,713,535,26,27.4,133.3,53,1,0,53,36,36.1,GT,20.58,13.7,6.01,14.9
HC Brook,58,"1,655","1,088",44,37.6,152.1,102,8,1,127,73,25.6,SRH,24.73,18.8,5.44,14.9
AT Rayudu,42,989,749,35,28.3,132,78,5,0,79,50,37,CSK,21.40,17.8,5.81,15.0
MR Marsh,41,"1,175",826,31,37.9,142.3,100,8,1,86,55,32.3,DC,26.65,20.1,5.86,15.0
KD Karthik,50,849,560,31,27.4,151.6,66,2,0,83,37,33,RCB,18.06,11.2,4.67,15.1
JC Buttler,59,"2,216","1,545",54,41,143.4,124,13,5,203,102,37.3,RR,28.61,26.2,5.07,15.1
MP Stoinis,86,"2,011","1,432",70,28.7,140.4,147,13,1,169,94,36.5,LSG,20.46,16.7,5.44,15.2
HH Pandya,39,895,640,28,32,139.8,87,5,0,74,42,34.2,GT,22.86,16.4,5.52,15.2
PP Shaw,44,"1,210",765,44,27.5,158.2,134,8,1,142,50,36.1,DC,17.39,17.4,3.98,15.3
RA Jadeja,32,575,389,14,41.1,147.8,62,2,0,47,25,29.8,CSK,27.79,12.2,5.40,15.6
