Player,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%,Team,Bowling Type,Which Overs,Year,Over,Extra Balls,Balls Bowled,BPI,BPB,BP6,Bound Runs,Bound Runs %,Non Bound Runs %,WPI
Yash Thakur,10,37.2,271,21,7.26,12.9,10.7,0,Apr-22,27,8,48.7,LSG,RAM,All,2023,37,2,224,22.4,6.4,28,156,57.60%,42.40%,2.1
JB Little,8,23,164,16,7.13,10.2,8.6,1,May-13,17,5,52.2,GT,LAFM,All,2023,23,0,138,17.25,6.27,27.6,98,59.80%,40.20%,2
KM Asif,7,27.4,246,12,8.89,20.5,13.8,0,Mar-25,20,11,38,RR,RAM,All,2023,27,4,166,23.71,5.35,15.09,146,59.30%,40.70%,1.71
Baltej Singh,7,26,188,12,7.23,15.7,13,0,Mar-20,19,8,48.1,PBKS,RAM,All,2023,26,0,156,22.29,5.78,19.5,124,66.00%,34.00%,1.71
Avesh Khan,33,124.4,970,55,7.78,17.6,13.6,1,May-17,106,29,47.9,LSG,RAFM,All,2023,124,4,748,22.67,5.54,25.79,598,61.60%,38.40%,1.67
R Dhawan,17,56.2,430,28,7.63,15.4,12.1,1,Jun-23,40,15,45,PBKS,RAMF,All,2023,56,2,338,19.88,6.15,22.53,250,58.10%,41.90%,1.65
L Ngidi,14,56,471,23,8.41,20.5,14.6,0,Mar-28,41,21,47.9,DC,RAFM,All,2023,56,0,336,24,5.42,16,290,61.60%,38.40%,1.64
TG Southee,19,72.3,579,31,7.99,18.7,14,0,Mar-20,53,23,43.2,KKR,RAMF,All,2023,72,3,435,22.89,5.72,18.91,350,60.40%,39.60%,1.63
JA Richardson,39,145.3,"1,060",63,7.29,16.8,13.9,0,04-Sep,106,28,51.3,MI,RAF,All,2023,145,3,873,22.38,6.51,31.18,592,55.80%,44.20%,1.62
MA Wood,21,80,660,33,8.25,20,14.5,0,Mar-20,66,25,47.1,LSG,RAF,All,2023,80,0,480,22.86,5.27,19.2,414,62.70%,37.30%,1.57
HV Patel,37,132.4,"1,059",58,7.98,18.3,13.7,1,May-27,81,40,43,RCB,RAM,All,2023,132,4,796,21.51,6.58,19.9,564,53.30%,46.70%,1.57
OC McCoy,30,98.5,857,47,8.67,18.2,12.6,1,May-33,78,31,48.2,RR,LAFM,All,2023,98,5,593,19.77,5.44,19.13,498,58.10%,41.90%,1.57
Mohsin Khan,9,33,197,14,5.97,14.1,14.1,0,Apr-16,18,5,58.1,LSG,LAMF,All,2023,33,0,198,22,8.61,39.6,102,51.80%,48.20%,1.56
K Rabada,51,193.4,"1,580",78,8.16,20.3,14.9,0,Apr-24,136,68,45.4,PBKS,RAF,All,2023,193,4,1162,22.78,5.7,17.09,952,60.30%,39.70%,1.53
A Nortje,37,140.3,"1,080",56,7.69,19.3,15.1,0,03-Dec,112,38,47.6,DC,RAF,All,2023,140,3,843,22.78,5.62,22.18,676,62.60%,37.40%,1.51
KC Cariappa,4,16,94,6,5.88,15.7,16,0,Feb-23,4,4,44.8,RR,RALB,All,2023,16,0,96,24,12,24,40,42.60%,57.40%,1.5
JJ Bumrah,43,168.2,"1,197",63,7.11,19,16,1,05-Oct,110,35,48.3,MI,RAF,All,2023,168,2,1010,23.49,6.97,28.86,650,54.30%,45.70%,1.47
PJ Sangwan,7,24,196,10,8.17,19.6,14.4,0,Mar-20,17,9,44.4,GT,LAM,All,2023,24,0,144,20.57,5.54,16,122,62.20%,37.80%,1.43
DG Nalkande,12,39.1,371,17,9.47,21.8,13.8,0,Apr-28,34,15,43.4,GT,RAFM,All,2023,39,1,235,19.58,4.8,15.67,226,60.90%,39.10%,1.42
Mustafizur Rahman,52,191.3,"1,407",73,7.35,19.3,15.7,1,May-27,121,41,48.7,DC,LAFM,All,2023,191,3,1149,22.1,7.09,28.02,730,51.90%,48.10%,1.4
JC Archer,20,77.4,529,28,6.81,18.9,16.6,0,Mar-19,45,23,54.7,MI,RAF,All,2023,77,4,466,23.3,6.85,20.26,318,60.10%,39.90%,1.4
Umran Malik,19,69.1,613,26,8.86,23.6,16,1,May-25,76,21,51.6,SRH,RAF,All,2023,69,1,415,21.84,4.28,19.76,430,70.10%,29.90%,1.37
PWH de Silva,55,195,"1,318",75,6.76,17.6,15.6,1,May-18,72,70,43.2,RCB,RALB,All,2023,195,0,1170,21.27,8.24,16.71,708,53.70%,46.30%,1.36
S Kaul,23,84,660,31,7.86,21.3,16.3,0,04-Jun,70,23,42.1,RCB,RAM,All,2023,84,0,504,21.91,5.42,21.91,418,63.30%,36.70%,1.35
Mohammed Shami,44,167.2,"1,343",59,8.03,22.8,17,0,Mar-15,146,46,48.4,GT,RAF,All,2023,167,2,1004,22.82,5.23,21.83,860,64.00%,36.00%,1.34
A Zampa,54,205.5,"1,480",72,7.19,20.6,17.2,1,May-17,97,50,34.2,RR,RALB,All,2023,205,5,1235,22.87,8.4,24.7,688,46.50%,53.50%,1.33
C Sakariya,24,91,663,32,7.29,20.7,17.1,1,05-Nov,57,16,47.3,DC,LAMF,All,2023,91,0,546,22.75,7.48,34.13,324,48.90%,51.10%,1.33
YS Chahal,52,198,"1,448",69,7.31,21,17.2,1,May-40,78,69,38.5,RR,RALB,All,2023,198,0,1188,22.85,8.08,17.22,726,50.10%,49.90%,1.33
Naveen-ul-Haq,80,285.2,"2,331",106,8.17,22,16.2,2,05-Nov,228,68,43.6,LSG,RAMF,All,2023,285,2,1712,21.4,5.78,25.18,1320,56.60%,43.40%,1.33
LH Ferguson,53,196.5,"1,523",70,7.74,21.8,16.9,0,Apr-19,148,53,45.7,KKR,RAF,All,2023,196,5,1181,22.28,5.88,22.28,910,59.80%,40.20%,1.32
OF Smith,34,95.5,917,44,9.57,20.8,13.1,0,Apr-30,74,50,51.8,GT,RAFM,All,2023,95,5,575,16.91,4.64,11.5,596,65.00%,35.00%,1.29
M Theekshana,32,124,868,41,7,21.2,18.1,0,Apr-25,67,26,39.8,CSK,RAO,All,2023,124,0,744,23.25,8,28.62,424,48.80%,51.20%,1.28
R Sai Kishore,18,67,388,23,5.79,16.9,17.5,0,Apr-28,21,10,45.5,GT,RAO,All,2023,67,0,402,22.33,12.97,40.2,144,37.10%,62.90%,1.28
JR Hazlewood,29,109.3,846,37,7.73,22.9,17.8,0,Apr-25,84,33,46.9,RCB,RAFM,All,2023,109,3,657,22.66,5.62,19.91,534,63.10%,36.90%,1.28
TU Deshpande,15,54.3,520,19,9.54,27.4,17.2,0,Mar-25,62,16,41.9,CSK,RAM,All,2023,54,3,327,21.8,4.19,20.44,344,66.20%,33.80%,1.27
Rashid Khan,143,556.5,"3,622",180,6.5,20.1,18.6,2,Jun-17,246,122,42.6,GT,RALB,All,2023,556,5,3341,23.36,9.08,27.39,1716,47.40%,52.60%,1.26
